Pair_No	Area	Mean	IntDen	Median	RawIntDen	Group	Locus
1	2.29	5194.245	11894.317	5227	2815281	Sc	nuclei
2	1.774	5649.036	10024.007	5636	2372595	Sc	nuclei
3	1.077	5505.922	5931.82	5501	1404010	Sc	nuclei
4	2.349	6027.034	14157.814	6099	3351031	Sc	nuclei
5	1.605	5601.634	8993.239	5619	2128621	Sc	nuclei
1	29.27	5262.013	154020.158	5338	36455226	Sc	wc
2	19.958	5247.16	104725.386	5239	24787584	Sc	wc
3	12.075	5442.222	65713.748	5477	15553870	Sc	wc
4	21.496	5315.808	114270.512	5277	27046832	Sc	wc
5	24.576	4846.121	119099.82	4810	28189887	Sc	wc
1	29.27	4855.65	142125.841	5307	33639945	Sc	cytoplasm
2	19.958	4744.917	94701.379	5164	22414989	Sc	cytoplasm
3	12.075	4950.966	59781.928	5435	14149860	Sc	cytoplasm
4	21.496	4657.194	100112.698	5195	23695801	Sc	cytoplasm
5	24.576	4480.19	110106.582	4755	26061266	Sc	cytoplasm
1	2.146	4660.388	10002.384	4665	2367477	Cg	nuclei
2	2.822	5288.337	14924.966	5301	3532609	Cg	nuclei
3	1.474	4444.35	6553.17	4442	1551078	Cg	nuclei
4	2.163	4761.461	10299.78	4776	2437868	Cg	nuclei
5	1.441	5108.023	7359.106	5107	1741836	Cg	nuclei
1	22.303	4573.926	102013.706	4573	24145753	Cg	wc
2	25.147	4680.907	117709.275	4601	27860757	Cg	wc
3	16.959	4356.084	73873.969	4368	17485323	Cg	wc
4	24.555	4601.42	112988.758	4608	26743452	Cg	wc
5	20.905	4840.836	101197.056	4837	23952459	Cg	wc
1	22.303	4125.455	92011.321	4530	21778276	Cg	cytoplasm
2	25.147	4087.39	102784.309	4530	24328148	Cg	cytoplasm
3	16.959	3969.667	67320.799	4323	15934245	Cg	cytoplasm
4	24.555	4181.966	102688.978	4559	24305584	Cg	cytoplasm
5	20.905	4488.808	93837.95	4789	22210623	Cg	cytoplasm
1	2.146	4885.413	10485.347	4884	2481790	A2	nuclei
2	1.259	4714.349	5935.479	4707	1404876	A2	nuclei
3	0.963	5770.904	5558.997	5914	1315766	A2	nuclei
4	3.507	5110.173	17919.732	5126	4241444	A2	nuclei
5	1.986	4829.787	9590.553	4844	2270000	A2	nuclei
1	27.5	4561.358	125437.152	4580	29689878	A2	wc
2	19.126	4138.207	79148.105	4090	18733665	A2	wc
3	11.652	5068.119	59055.297	5016	13977873	A2	wc
4	26.82	4357.219	116859.518	4285	27659627	A2	wc
5	17.478	4427.219	77380.993	4390	18315405	A2	wc
1	27.5	4180.072	114951.805	4479	27208088	A2	cytoplasm
2	19.126	3827.875	73212.626	4025	17328789	A2	cytoplasm
3	11.652	4591.047	53496.301	4830	12662107	A2	cytoplasm
4	26.82	3689.065	98939.786	4177	23418183	A2	cytoplasm
5	17.478	3878.512	67790.44	4300	16045405	A2	cytoplasm
1	2.214	6577.683	14562.033	6770	3446706	C2	nuclei
2	1.546	6432.571	9946.801	6692	2354321	C2	nuclei
3	1.453	6938.669	10084.453	7146	2386902	C2	nuclei
4	1.077	7948.455	8563.29	8179	2026856	C2	nuclei
5	1.546	7007.511	10835.841	7182	2564749	C2	nuclei
1	17.546	5161.405	90562.333	4891	21435313	C2	wc
2	8.619	5400.065	46542.204	5074	11016133	C2	wc
3	11.547	5438.512	62796.792	5029	14863452	C2	wc
4	11.826	5942.117	70268.69	5525	16631985	C2	wc
5	11.306	5507.462	62266.633	5151	14737968	C2	wc
1	17.546	4331.473	76000.3	4783	17988607	C2	cytoplasm
2	8.619	4250.773	36636.658	4904	8671577	C2	cytoplasm
3	11.547	4565.148	52712.338	4897	12476550	C2	cytoplasm
4	11.826	5217.981	61705.399	5399	14605129	C2	cytoplasm
5	11.306	4549.036	51430.791	5016	12173219	C2	cytoplasm
1	2.358	8672.995	20446.597	8630	4839531	E8	nuclei
2	1.682	6576.997	11059.322	6598	2617645	E8	nuclei
3	1.779	6650.24	11828.704	6672	2799751	E8	nuclei
4	1.618	6278.193	10159.006	6289	2404548	E8	nuclei
5	1.682	8145.397	13696.61	8191	3241868	E8	nuclei
1	16.27	6842.211	111323.737	6711	26349356	E8	wc
2	9.869	5785.163	57096.07	5700	13514141	E8	wc
3	13.807	6015.228	83052.343	6067	19657764	E8	wc
4	9.861	5512.204	54355.546	5429	12865483	E8	wc
5	10.803	6670.512	72062.224	6539	17056499	E8	wc
1	16.27	5585.517	90877.139	6278	21509825	E8	cytoplasm
2	9.869	4664.596	46036.748	5501	10896496	E8	cytoplasm
3	13.807	5158.511	71223.638	5875	16858013	E8	cytoplasm
4	9.861	4481.977	44196.54	5221	10460935	E8	cytoplasm
5	10.803	5402.671	58365.614	6195	13814631	E8	cytoplasm
1	1.618	5947.924	9624.584	5947	2278055	G8	nuclei
2	0.803	4332.2	3477.602	4338	823118	G8	nuclei
3	1.758	6571.428	11549.704	6366	2733714	G8	nuclei
4	1.838	5775.71	10614.815	5700	2512434	G8	nuclei
5	1.66	4224.537	7014.382	4185	1660243	G8	nuclei
1	13.845	5107.981	70720.202	5029	16738854	G8	wc
2	7.685	4248.383	32649.317	4247	7727808	G8	wc
3	18.657	5046.452	94152.748	4810	22285133	G8	wc
4	16.591	5043.651	83680.389	4911	19806417	G8	wc
5	16.274	4043.401	65803.781	4025	15575180	G8	wc
1	13.845	4412.816	61095.618	4864	14460799	G8	cytoplasm
2	7.685	3805.245	29243.749	4208	6921740	G8	cytoplasm
3	18.657	4427.405	82603.044	4594	19551419	G8	cytoplasm
4	16.591	4403.866	73065.574	4707	17293983	G8	cytoplasm
5	16.274	3612.393	58789.398	3968	13914937	G8	cytoplasm
