Pair_No,Formula,Group,Locus,Mean,Median
1,nuc_to_wc,Cg,wc,6.537930744,18.74881517
2,nuc_to_wc,Cg,wc,5.356555542,11.40145985
3,nuc_to_wc,Cg,wc,3.052500441,3.607052897
4,nuc_to_wc,Cg,wc,4.248733436,11.42763158
5,nuc_to_wc,Cg,wc,5.6631928,10.81481481
6,nuc_to_wc,Cg,wc,5.4328713,9.50877193
7,nuc_to_wc,Cg,wc,3.159652837,6.771144279
8,nuc_to_wc,Cg,wc,4.522199207,9.803317536
9,nuc_to_wc,Cg,wc,4.726729609,11.42635659
10,nuc_to_wc,Cg,wc,27.20373083,-12.09322034
1,nuc_to_cyto,Cg,cytoplasm,10.88469852,23.8313253
2,nuc_to_cyto,Cg,cytoplasm,84.77998299,25.19354839
3,nuc_to_cyto,Cg,cytoplasm,11.53721797,5.264705882
4,nuc_to_cyto,Cg,cytoplasm,21.88350152,64.33333333
5,nuc_to_cyto,Cg,cytoplasm,-4.83342767,-6.790697674
6,nuc_to_cyto,Cg,cytoplasm,10.235693,12.6536965
7,nuc_to_cyto,Cg,cytoplasm,105.156401,14.95604396
8,nuc_to_cyto,Cg,cytoplasm,9.810633258,14.67021277
9,nuc_to_cyto,Cg,cytoplasm,10.11926983,18.27272727
10,nuc_to_cyto,Cg,cytoplasm,-6.431137586,-7.797814208
1,nuc_to_wc,Sc,wc,6.260524853,27.77304965
2,nuc_to_wc,Sc,wc,2.779767063,2.843971631
3,nuc_to_wc,Sc,wc,3.922402743,4.055555556
4,nuc_to_wc,Sc,wc,6.696031769,21.4491018
5,nuc_to_wc,Sc,wc,5.029436085,13.44047619
6,nuc_to_wc,Sc,wc,6.075959056,58.9787234
7,nuc_to_wc,Sc,wc,4.634706996,11.60260586
8,nuc_to_wc,Sc,wc,5.709997536,14.94273128
9,nuc_to_wc,Sc,wc,5.649594228,16.33039648
10,nuc_to_wc,Sc,wc,-11.28237638,-8.342105263
1,nuc_to_cyto,Sc,cytoplasm,18.34448173,48.34567901
2,nuc_to_cyto,Sc,cytoplasm,8.612769842,7.160714286
3,nuc_to_cyto,Sc,cytoplasm,-11.56517535,12.63461538
4,nuc_to_cyto,Sc,cytoplasm,16.02600451,36.92783505
5,nuc_to_cyto,Sc,cytoplasm,24.75982263,24.72262774
6,nuc_to_cyto,Sc,cytoplasm,-289.9961832,-47.79310345
7,nuc_to_cyto,Sc,cytoplasm,33.10700243,26.98484848
8,nuc_to_cyto,Sc,cytoplasm,11.65639309,20.31137725
9,nuc_to_cyto,Sc,cytoplasm,57.33913919,48.14285714
10,nuc_to_cyto,Sc,cytoplasm,-2.313377405,-3.408602151
1,nuc_to_wc,A12,wc,4.32132297,8.896039604
2,nuc_to_wc,A12,wc,10.31294516,-59.71428571
3,nuc_to_wc,A12,wc,6.651895197,17.70940171
4,nuc_to_wc,A12,wc,8.188188679,91.83333333
5,nuc_to_wc,A12,wc,5.358157043,10.94382022
6,nuc_to_wc,A12,wc,2.018175943,1.990629183
7,nuc_to_wc,A12,wc,4.057658798,6.547550432
8,nuc_to_wc,A12,wc,-4.911864675,-4.273972603
9,nuc_to_wc,A12,wc,4.75339664,9.096446701
10,nuc_to_wc,A12,wc,3.207662604,3.743055556
1,nuc_to_cyto,A12,cytoplasm,48.09316856,19.5326087
2,nuc_to_cyto,A12,cytoplasm,-12.11494213,-17.97849462
3,nuc_to_cyto,A12,cytoplasm,59.82084257,44.08510638
4,nuc_to_cyto,A12,cytoplasm,-52.43765104,-29
5,nuc_to_cyto,A12,cytoplasm,8.427425089,12.59482759
6,nuc_to_cyto,A12,cytoplasm,2.427517632,2.133428981
7,nuc_to_cyto,A12,cytoplasm,16.06240697,10.71698113
8,nuc_to_cyto,A12,cytoplasm,-2.068644096,-3.35483871
9,nuc_to_cyto,A12,cytoplasm,13.36121999,15.31623932
10,nuc_to_cyto,A12,cytoplasm,5.810949394,4.659942363
1,nuc_to_wc,C3,wc,3.564244841,7.386861314
2,nuc_to_wc,C3,wc,1.895304544,2.108247423
3,nuc_to_wc,C3,wc,3.15446637,4.175182482
4,nuc_to_wc,C3,wc,4.369068268,6.930576071
5,nuc_to_wc,C3,wc,7.329759165,26.95070423
6,nuc_to_wc,C3,wc,6.451279478,45.10447761
7,nuc_to_wc,C3,wc,13.29048733,-69.37735849
8,nuc_to_wc,C3,wc,9.258594661,-21.27642276
9,nuc_to_wc,C3,wc,5.957157765,25.49238579
10,nuc_to_wc,C3,wc,5.831029016,33.14689266
1,nuc_to_cyto,C3,cytoplasm,5.127213769,9.921568627
2,nuc_to_cyto,C3,cytoplasm,3.393652356,2.840277778
3,nuc_to_cyto,C3,cytoplasm,5.125226235,4.888888889
4,nuc_to_cyto,C3,cytoplasm,5.460601812,7.666666667
5,nuc_to_cyto,C3,cytoplasm,18.19687754,46.67073171
6,nuc_to_cyto,C3,cytoplasm,21.44409029,-167.8888889
7,nuc_to_cyto,C3,cytoplasm,198.0052954,-39.53763441
8,nuc_to_cyto,C3,cytoplasm,-13.47273435,-12.89162562
9,nuc_to_cyto,C3,cytoplasm,10.61110548,38.04545455
10,nuc_to_cyto,C3,cytoplasm,14.16617349,81.48611111
1,nuc_to_wc,E9,wc,3.336271053,4.678977273
2,nuc_to_wc,E9,wc,2.499110983,3.201309329
3,nuc_to_wc,E9,wc,2.494532599,2.827757125
4,nuc_to_wc,E9,wc,3.55055703,5.21194432
5,nuc_to_wc,E9,wc,1.767643299,1.82781457
6,nuc_to_wc,E9,wc,4.838607406,8.545248869
7,nuc_to_wc,E9,wc,3.744621488,4.932764141
8,nuc_to_wc,E9,wc,3.819833035,5.792176039
9,nuc_to_wc,E9,wc,4.11333509,4.378378378
10,nuc_to_wc,E9,wc,3.628150201,6.263157895
1,nuc_to_cyto,E9,cytoplasm,5.785587178,5.806110458
2,nuc_to_cyto,E9,cytoplasm,3.581218995,3.963525836
3,nuc_to_cyto,E9,cytoplasm,4.265290248,3.822445561
4,nuc_to_cyto,E9,cytoplasm,4.584101637,6.039021852
5,nuc_to_cyto,E9,cytoplasm,2.515815378,2.320953048
6,nuc_to_cyto,E9,cytoplasm,9.218692345,13.16027875
7,nuc_to_cyto,E9,cytoplasm,5.717827879,6.981873112
8,nuc_to_cyto,E9,cytoplasm,6.2088501,8.150229358
9,nuc_to_cyto,E9,cytoplasm,8.097070299,6
10,nuc_to_cyto,E9,cytoplasm,5.517441189,7.767241379
1,nuc_to_wc,G9,wc,3.540266606,5.687890137
2,nuc_to_wc,G9,wc,3.719277136,6.776566757
3,nuc_to_wc,G9,wc,3.451103655,5.425022999
4,nuc_to_wc,G9,wc,4.120683353,6.968828981
5,nuc_to_wc,G9,wc,5.416538276,11.76757532
6,nuc_to_wc,G9,wc,5.813651552,21.98726115
7,nuc_to_wc,G9,wc,3.066038768,4.810391978
8,nuc_to_wc,G9,wc,3.346093928,5.849759615
9,nuc_to_wc,G9,wc,3.453280079,5.856687898
10,nuc_to_wc,G9,wc,2.554375634,4.273905997
1,nuc_to_cyto,G9,cytoplasm,5.202977408,7.396103896
2,nuc_to_cyto,G9,cytoplasm,9.160834378,9.314606742
3,nuc_to_cyto,G9,cytoplasm,4.657773756,6.430752454
4,nuc_to_cyto,G9,cytoplasm,6.229634834,8.133726647
5,nuc_to_cyto,G9,cytoplasm,11.52879807,14.21490468
6,nuc_to_cyto,G9,cytoplasm,16.19557545,37.52173913
7,nuc_to_cyto,G9,cytoplasm,6.301414787,5.982993197
8,nuc_to_cyto,G9,cytoplasm,6.338164813,7.296851574
9,nuc_to_cyto,G9,cytoplasm,5.602298166,7.435309973
10,nuc_to_cyto,G9,cytoplasm,13.4479875,8.064220183
