plasmid	group	name
NA	control	host
247	control	Gal4_DBD
346	control	Gal4
434	ScPho4	ScPho2AD
362	CgPho4	CgAD
387	CgPho4	CgAD.1
380	CgPho4	CgAD.2
363	ScPho4	ScAD
379	ScPho4	ScAD_9aa
349	ScPho4	ScE1
351	Combo	ScE1:ScAD
471	Combo	ScAD:ScE1
377	CgPho4	CgE2
386	CgPho4	CgE2_9aa
390	Combo	ScAD_9aa:CgE2_9aa
391	Combo	CgE2_9aa:ScAD_9aa
469	Combo	CgAD:CgE2_9aa
470	Combo	CgE2_9aa:CgAD
350	CgPho4	CgE1
352	Combo	CgE1:CgAD
451	Combo	CgAD:CgE1
388	Combo	CgE1:ScAD_9aa
389	Combo	ScAD_9aa:CgE1
378	ScPho4	ScE2
472	Combo	ScAD:ScE2
473	Combo	ScE2:ScAD
